Nb elements;GPU Time
32;1.069984
64;1.037952
96;1.224480
128;1.311680
160;1.146944
192;1.273408
224;1.201536
256;1.746912
288;1.603104
320;1.906016
352;2.072768
384;3.176832
416;3.375360
448;3.609760
480;3.881216
512;4.180320
