Nb elements;GPU Time
32;1.188384
64;1.100288
96;0.984768
128;1.250976
160;1.085984
192;1.210912
224;1.346048
256;1.545696
288;1.669248
320;1.722720
352;1.821312
384;1.968192
416;7.695808
448;2.291296
480;2.447168
512;2.752576
