Nb elements;CPU Time
64;0.131000
128;0.711000
192;1.529000
256;2.215000
320;3.622000
384;5.032000
448;6.893000
512;9.365000
576;8.660000
640;10.506000
704;12.994000
768;20.812000
832;18.320000
896;21.010000
960;24.115999
1024;27.252001
1088;30.639999
1152;34.824001
1216;38.320000
1280;50.976002
1344;46.992001
1408;51.152000
1472;70.015999
1536;76.512001
1600;84.031998
1664;89.856003
1728;95.744003
1792;102.912003
1856;111.360001
1920;119.872002
1984;128.128006
2048;135.936005
