Nb elements;CPU Time
32;0.023000
64;0.039000
96;0.101000
128;0.216000
160;0.358000
192;0.548000
224;0.786000
256;1.037000
288;1.396000
320;1.784000
352;2.208000
384;2.608000
416;3.048000
448;3.616000
480;4.176000
512;4.704000
