Nb elements;CPU Time
64;0.025000
128;0.062000
192;0.119000
256;0.219000
320;0.339000
384;0.472000
448;0.640000
512;0.839000
576;1.081000
640;1.319000
704;1.602000
768;1.888000
832;2.228000
896;2.580000
960;2.968000
1024;3.376000
1088;3.816000
1152;4.896000
1216;4.784000
1280;5.264000
1344;5.792000
1408;6.432000
1472;6.976000
1536;7.584000
1600;8.448000
1664;8.896000
1728;9.664000
1792;10.496000
1856;11.072000
1920;11.904000
1984;12.672000
2048;13.440000
