Nb elements;GPU Time
64;1.254080
128;1.508384
192;1.947104
256;2.554976
320;3.675936
384;4.374784
448;5.626144
512;7.051104
576;9.418976
640;11.166272
704;12.720864
768;19.521248
832;16.731840
896;19.167328
960;21.789280
1024;31.363104
1088;28.265375
1152;29.205503
1216;35.436096
1280;59.437634
1344;58.187679
1408;62.395935
1472;82.311104
1536;89.225281
1600;96.634109
1664;89.187843
1728;95.557793
1792;103.119293
1856;112.117599
1920;131.385529
1984;155.931686
2048;138.685440
