Nb elements;CPU Time
32;0.025000
64;0.065000
96;0.223000
128;0.418000
160;0.622000
192;0.910000
224;1.026000
256;1.350000
288;1.646000
320;1.964000
352;2.336000
384;2.800000
416;3.360000
448;3.856000
480;4.608000
512;5.088000
