Nb elements;GPU Time
64;1.168608
128;1.351072
192;3.171712
256;1.862720
320;2.302048
384;2.768320
448;3.432832
512;4.232832
576;6.139744
640;7.074016
704;8.186464
768;9.192992
832;10.758272
896;11.531040
960;13.098496
1024;14.405600
1088;22.143583
1152;17.817024
1216;19.703360
1280;38.573727
1344;36.688095
1408;40.533730
1472;44.412575
1536;48.112671
1600;52.004673
1664;51.014175
1728;54.971294
1792;63.225506
1856;68.752861
1920;72.829826
1984;72.293472
2048;77.174782
