Nb elements;CPU Time
32;0.021000
64;0.075000
96;0.085000
128;0.189000
160;0.327000
192;0.494000
224;0.787000
256;0.939000
288;1.298000
320;1.664000
352;2.044000
384;2.416000
416;2.792000
448;3.328000
480;3.888000
512;4.272000
