Nb elements;CPU Time
32;3.013000
64;23.593000
96;137.287994
128;373.497986
160;911.979004
192;1891.035034
224;3516.032959
256;6025.463867
288;9624.715820
320;14654.375977
352;21457.427734
384;30323.976562
416;41793.832031
448;56250.570312
480;74542.500000
512;96586.820312
