Nb elements;GPU Time
32;1.200832
64;1.145632
96;1.090528
128;1.407648
160;1.421184
192;1.610720
224;1.677024
256;2.214144
288;2.467712
320;2.914496
352;2.552320
384;2.862400
416;4.196032
448;3.442784
480;3.784000
512;4.312448
