Nb elements;CPU Time
32;0.020000
64;0.053000
96;0.194000
128;0.354000
160;0.553000
192;0.792000
224;0.867000
256;1.159000
288;1.404000
320;1.648000
352;1.968000
384;2.360000
416;2.880000
448;3.280000
480;3.968000
512;4.352000
