Nb elements;GPU Time
32;1.092448
64;1.113184
96;1.344384
128;1.432480
160;1.437344
192;1.679424
224;1.755616
256;2.356800
288;2.697088
320;2.537408
352;2.858112
384;3.219680
416;3.532320
448;4.818368
480;5.267168
512;5.738688
